,sample1,sample2,sample3
sample1,1.0,7.649173241614674e-05,2.1940979767922035e-15
sample2,7.649173241614674e-05,1.0,4.6514336919726784e-36
sample3,2.1940979767922035e-15,4.6514336919726784e-36,1.0
