,sample1,sample2,sample3
sample1,1.0,0.20693238986102824,2.1758169985327287e-37
sample2,0.20693238986102824,1.0,2.6135296264272684e-26
sample3,2.1758169985327287e-37,2.6135296264272684e-26,1.0
