,sample1,sample2,sample3
sample1,1.0,0.012528864685009404,1.424948270036612e-30
sample2,0.012528864685009404,1.0,1.7726283946789266e-16
sample3,1.424948270036612e-30,1.7726283946789266e-16,1.0
